gewähren,to grant [or give] [sb] sth
versetzen,to move [or transfer] [or post] sb [somewhere]
knistern,to rustle sth
aufführen,to perform [or put on] [or stage] Shakespeare/a play
einschränken,to reduce one's consumption of sth form
einsetzen,to begin
anstoßen,to drink to sb/sth [with sth]
aufführen,to behave
aufrappeln,to recover
nachreichen,to hand sth [to sb] later
einsetzen,to work hard
vorkommen,to happen
mühen,to struggle with sb/sth
drängen,to pressurize [or pressure] sb [into sth]
treffen,to meet [up with] sb
schwanken,to begin to sway [or swaying]
gelangen,to gain great honour [or Am -or] /fame and fortune
andauern,to go on
schaffen,to create sth
verstreichen,to apply sth to [or put sth on[to]] sth
winken,to wave
abkommen,to go off
schaffen,to have nothing to do with sb/sth
erhalten,to keep [oneself] in a certain way
ablegen,to put down sth sep
vorarbeiten,to do some work in advance
verarbeiten,to make sth into sth
lichten,to thin out sth sep
einschränken,to cut [back on] sth
einsetzen,to put sth in [sth]
