backen,to bake
hüten,to look after sb/sth
bedenken,to reflect
ableiten,to derive one's privilege from sth
verarbeiten,to use sth [up]
abkommen,to give up
sausen,to whistle
blasen,to blow
fassen,to grip
ablegen,to put down sth sep
erbringen,to perform well
fällen,to reach [or pass] a verdict
fällen,to fell sth
quittieren,to acknowledge [or confirm] [the] receipt of sth
scheppern,to box sb's ears
entstehen,to come into being [from sth]
lösen,to take the meat off the bone
strampeln,to kick [[about sep ] one's legs]
trotzen,to defy sb/a thing
ermitteln,to establish sth
einbringen,to bring sth to bear in sth
ermitteln,to find out sth sep
hinziehen,to extend [or stretch] along sth
berücksichtigen,to bear sth in mind
ankündigen,to announce sb [to sb]
stellen,to come and stand somewhere
erkennen,to reveal [to sb] that one is sb
erhalten,to receive sth [from sb]
scheppern,to clip sb round the ear
scheppern,to rattle
erschrecken,to get a fright [from sb/sth]
erkennen,to show that ...
einsetzen,to stand up for [or support] sb/sth
zerkleinern,to chop wood
einschränken,to cut [back on] sth
bearbeiten,to work on sth [with sth]
bescheren,to grant sb sth
vorwärtsbringen,to help sb to make progress
mühen,to moo
entstehen,to arise [or result] [from sth]
zuführen,to lead direct to sth
laben,to feast [on sth]
klauen,to pinch [or Brit a. nick] sth [from sb] inf
drängen,to pressurize sb into doing sth
hinterlassen,to leave [or form bequeath] [or will] sb sth
knistern,to rustle
geraten,to recommend sth [to sb]
bescheren,to bless sb with sth liter
abarbeiten,to work through sth
blasen,to blow on sth
lähmen,to walk with a limp
entstehen,to be created [from sth]
erkennen,to see whether/what/who...
ableiten,to divert sth
verarbeiten,to process meat
hüten,to mind sb/sth
eingehen,to enter into sth
gewähren,to give sb a discount
fungieren,to function as a middleman
schwanken,to begin to sway [or swaying]
ausarbeiten,to elaborate form [or sep draw up] a system
stellen,to place [or put] sth upright
verstreichen,to pass [by]
einbringen,to bring sth in[to sth]
ermitteln,to establish sb's identity
entnehmen,to take sth [from sth]
treffen,to aim well/badly
erkennen,to reveal one's identity [to sb]
knistern,to rustle sth
versagen,to deny oneself sth
treffen,to hit [the target]
hergeben,to part with [or relinquish] sth
verstreichen,to use up sth sep
einschränken,to curb [or limit] [or restrict] sth
blasen,to blow on sth
zerkleinern,to finely chop an onion
bearbeiten,to deal with sth
einbringen,to bring [sb] sth
ausüben,to hold office
locken,to curl
klauen,to pinch [or Brit a. nick] things inf
treffen,to meet [sb]
lösen,to come off [of sth]
schmeicheln,to butter sb up
einreichen,to submit [or present] a request for retirement/a transfer
verharren,to persist [in sth]
locken,to tempt sb
wehen,to flutter
versetzen,to promote a student to the next class [or grade] Am
lösen,to get a stamp off from an envelope
eintragen,to register sb/sth in sth
bescheren,to give sb sth [as a present]
backen,to fry
geraten,to get [sth] caught in/under sth
hüten,to be on one's guard against sb/sth
geraten,to get caught in a storm
schwärmen,to leave the nest [in swarms]
bedenken,to think
schaffen,to create conditions
erbringen,to raise sth
entsinnen,to remember [sth/sb]
aufführen,to act as if ...
eingehen,to arrive
schwärmen,to be mad [or crazy] about sb
fällen,to flop onto/into sth inf
bedenken,to consider [or think about] sth
anstoßen,to knock one's head/arm
stellen,to stand up for sb
benachteiligen,to handicap sb
aufarbeiten,to get through [or sep finish off] sth
stellen,to prick up sep its ears
ableiten,to derive sth from sth
belegen,to verify sth
zuführen,to supply sth to sb/sth
einschränken,to reduce sth
würgen,to retch
bescheiden,to decide upon an application
genesen,to recover [after/from sth]
gelangen,to gain great honour [or Am -or] /fame and fortune
aufwerfen,to set oneself up as judge
trotzen,to meet a challenge
andauern,to go on
schwanken,to stagger [or reel]
erwähnen,to mention [to sb] that ...
bewältigen,to overcome difficulties
einsetzen,to exert oneself
stellen,to place sth somewhere [for sb]
begaben,to commence sth
aufbringen,to pay sth
erkennen,to discern sb/sth
begaben,to retire [to bed]
darstellen,to impersonate sth
eintragen,to register
einschränken,to cut down the risk for sth
vorkommen,to occur [somewhere]
stellen,to oppose sb/sth
hinziehen,to drag on
erstarren,to freeze
fordern,to aid the metabolism/digestion
ankündigen,to announce itself [with sth]
täuschen,to be mistaken [or wrong]
bearbeiten,to edit a picture/an article/one's profile
erzeugen,to produce sth
