() develop ; draw up ; work out ; prepare ; elaborate,ausarbeiten
() urge ; push ; press ; hustle ; constrain,drängen
() splash ; dabble ; slosh,platschen
patch,patchen
lure ; attract ; entice,locken
guide ; conduct ; wage,führen
pike ; Hechten,hechten
feast ; refresh ; slake,laben
panting ; thirsting ; baying,lechzen
respond ; take ; enter,eingehen
receive ; get ; obtain,erhalten
() flailing,eindreschen
went ; proceeded ; headed,begeben
move ; drag on ; extend,hinziehen
() generate ; earn ; achieve ; gain make profit ; income,erwirtschaften
process ; work through ; work off,abarbeiten
meet ; comply with ; correspond to,entsprechen
() swarm ; adore ; enthuse ; rhapsodize ; flocks rave schools raptures,schwärmen
() move ; drag on ; extend ; protracted,hinziehen
() accommodate ; host ; house ; harbor ; contain,beherbergen
edit ; process ; work,bearbeiten
() went ; proceeded ; headed ; made their way ; embarked,begeben
claim ; require ; take up,beanspruchen
ask ; put ; ensure,stellen
generate ; earn ; achieve,erwirtschaften
arise ; emerge ; create,entstehen
restrict ; limit ; reduce,einschränken
blow ; suck ; inflate,blasen
() restrict ; limit ; reduce ; narrow ; constrain,einschränken
() grant ; provide ; give ; allow ; offer,gewähren
submit ; file ; lodge,einreichen
consider ; remember ; keep in mind,bedenken
use ; insert ; deploy,einsetzen
cope with ; manage ; handle,bewältigen
() engage ; intervene ; interfere ; encroach ; step in,eingreifen
() disadvantage ; penalise ; discriminate against ; penalize ; discriminate,benachteiligen
() pike ; Hechten,hechten
() beware ; guard ; tend ; protect ; be wary,hüten
() patch,patchen
advise ; get ; fall,geraten
() throats grooves ; gorges ; throat ; Kehlen,kehlen
() remember ; recollect,entsinnen
() feast ; refresh ; slake ; Laben ; rennet,laben
() give ; give away,hergeben
rework ; re-work ; refinish,nacharbeiten
() produce ; bring forth ; generate ; bring about ; yield,hervorbringen
paralyze ; paralyse ; cripple,lähmen
() demand ; request ; call for ; require ; ask,fordern
() determine ; detect ; investigate ; ascertain ; establish,ermitteln
() implant ; nestle ; lurk ; implantation ; nest,einnisten
