advise ; get ; fall,geraten
grant ; give ; issue,erteilen
steal ; swipe ; shoplift,klauen
(die) guitar,Klampfe
disadvantage ; penalise ; discriminate against,benachteiligen
process ; work through ; work off,abarbeiten
(der) man ; person ; human ; human being ; one,Mensch
(der) customer ; client ; buyer ; tidings ; costumer,Kunde
move ; drag on ; extend,hinziehen
(die) hassle,Schererei
solidify ; freeze ; congeal,erstarren
consider ; remember ; keep in mind,bedenken
recognize ; see ; recognise,erkennen
bid ; eBay ; purchased by auction,ersteigern
pike ; Hechten,hechten
(der,) same ; identical ; similar ; equality equal equivalent matching pairs uniform level playing common equally similarly different likewise,Gleiche
bring ; give ; bestow,bescheren
(die) consideration ; considering ; regard ; light ; attention,Berücksichtigung
sound ; resound ; ring out,erklingen
(die) company ; firm ; business ; corporation ; enterprise,Firma
beware ; guard ; tend,hüten
ask ; put ; ensure,stellen
trouble struggle toil difficulty ; travails ; hassle,mühen
shape ; create ; form,gestalten
(die) puddle ; pool ; mudhole,Pfütze
cope with ; manage ; handle,bewältigen
remove ; see ; take,entnehmen
lure ; attract ; entice,locken
(das) porthole ; bull's-eye ; bullseye ; bull's eye ; port hole,Bullauge
recover ; heal ; get better,genesen
(der) instinct ; intuition ; flair ; serendipity ; investigative skills,Spürsinn
solve ; resolve ; release,lösen
(das) courtesy ; concession ; kindness ; obligingness ; accommodate,Entgegenkommen
submit ; file ; lodge,einreichen
result ; arise ; show,ergeben
refurbish ; work through ; working up,aufarbeiten
clang ; clatter ; clank,scheppern
produce ; bring forth ; generate,hervorbringen
paralyze ; paralyse ; cripple,lähmen
distort ; disfigure ; misrepresent,entstellen
take into account ; consider ; take account,berücksichtigen
account for ; be omitted ; eliminate,entfallen
meet ; accommodate ; courtesy,entgegenkommen
provide ; deliver ; perform,erbringen
edit ; process ; work,bearbeiten
panting ; thirsting ; baying,lechzen
exhort ; admonish ; urge,ermahnen
(der) burglary ; break-in ; slump ; collapse ; breaking,Einbruch
(der) hairdresser ; barber ; hairdressing ; hair stylist ; hair salon,Friseur
circle ; revolve ; orbit,kreisen
